newID,alpha,beta,gamma,simID
101,8.48744186,-0.005581395,0.263214286,1
102,7.923076923,-0.102564103,0.602030817,2
103,2.705544933,0.10707457,0.145073369,3
104,3,-2,0.29041769,4
105,8.734482759,0.031034483,0.233286767,5
106,8.111111111,0.144444444,0.23805235,6
107,4.416666667,0.666666667,0.298571429,7
108,4.543478261,0.456521739,0.130808974,8
109,4,0.447368421,0.200503373,9
110,10,0,0.08,10
111,6.191780822,0.255707763,0.204015038,11
112,4.660377358,0.051212938,0.161264971,12
113,3.793814433,0.082474227,0.086405405,13
114,2.31372549,0.37254902,0.08,14
115,1.748201439,0.007194245,0.09712605,15
116,3.711864407,0.847457627,0.091504966,16
117,3.323741007,0.568345324,0.140312368,17
118,1.720588235,0.029411765,0.113973717,18
119,5.384615385,1.153846154,0,19
120,3.41509434,-0.066037736,0.095157895,20
121,0,0,0,21
122,7.504672897,0.261682243,0.15,22
123,2.995073892,0.113300493,0.124105263,23
124,2.823529412,0.470588235,0.0125,24
125,0.736842105,0.052631579,0.098545455,25
126,0,0,0,26
128,11.51666667,0.466666667,0.352631579,27
129,0.666666667,0.333333333,0.073026316,28
130,3.263157895,1.684210526,0.148785425,29
131,4.75,0.333333333,0.041669173,30
132,5.181818182,0.636363636,0.021590909,31
133,9.691176471,-0.058823529,0.263289474,32
134,5.117647059,0.607843137,0.055384615,33
135,-0.083333333,-0.333333333,0.113556876,34
136,2.205882353,-0.088235294,0.0285,35
201,2.603448276,0.293103448,0.049052632,36
202,0.666666667,-0.333333333,0.234121457,37
203,0.74137931,0.172413793,0.05410642,38
204,3.692307692,1.115384615,0.258799227,39
205,2.463414634,0.073170732,0.030769231,40
206,3,0,0.266158184,41
207,1.107142857,0.142857143,0.087348178,42
208,5.83,0.08,0.089068826,43
209,6.474576271,0.63559322,0.056,44
211,6.388888889,0.222222222,0.167896104,45
212,2.25,-0.75,0.153583916,46
213,2.461538462,-0.038461538,0.102631579,47
214,4,0.333333333,0.057142857,48
215,2.246575342,0.143835616,0.082267732,49
216,5.307692308,0.318681319,0.219259109,50
217,1.5,-0.115384615,0.214947552,51
218,0,0,0.0405,52
219,0,0,0,53
220,3.176470588,0.078431373,0.087578947,54
221,5.178571429,0.714285714,0.052631579,55
222,2,-4.19E-017,0.046590909,56
223,4,0.4,0.087578947,57
224,0.75,1,0.036,58
225,3.590909091,0.545454545,0.444336288,59
226,3.561576355,0.246305419,0.198214286,60
227,2,-1,0.09493007,61
228,1.783454988,0.143552311,0.190460066,62
229,4.590361446,-0.361445783,0.0939698,63
230,3.833333333,0.30952381,0.06148555,64
231,1.97979798,-0.131313131,0.04217033,65
232,2.039215686,0.156862745,0.094478908,66
233,7.642857143,0.785714286,0.265669856,67
234,7.033412888,0.133651551,0.122662139,68
235,2.75,0.5,0.117340659,69
236,4.663551402,0.551401869,0.180789474,70
301,5.7,-0.1,0.049090909,71
302,9,0.35,0.146709291,72
303,0.526315789,-0.105263158,0.193066802,73
304,5.459183673,0.183673469,0.114089664,74
305,2.75,0.5,0.11574026,75
306,3.285714286,0.285714286,0.065,76
307,1.111111111,0.555555556,0.033910931,77
308,4.5,1,0.107591093,78
309,2.518072289,-0.024096386,0.084631579,79
310,1.777777778,0.111111111,0.175023923,80
311,1.645418327,0.083665339,0.093269231,81
312,2.5,1,0.103181818,82
313,0.636363636,0.454545455,0.076821862,83
314,1.266666667,-0.013333333,0.074285714,84
315,5.061728395,1.049382716,0,85
316,4.881516588,0.502369668,0.113598901,86
317,5.964285714,0.357142857,0.154201681,87
318,1.222222222,0.555555556,0.159090909,88
319,5,7.74E-017,0.131444976,89
320,3.422535211,0.345070423,0.11604251,90
321,3.539130435,0.156521739,0,91
322,5.377259475,-0.056559767,0.224464115,92
323,7.747524752,0.099009901,0.12,93
324,0,0,0,94
325,1,-0.333333333,0.064172457,95
326,1.141315015,-0.053974485,0.035526316,96
327,3.5,0.5,0.071868454,97
328,4.736486486,0.013513514,0.213339658,98
329,9.970760234,0.625730994,0.537937063,99
330,6.25,-0.073529412,0.170882353,100
331,3.307692308,-1.076923077,0.538684211,101
332,3,0.127659574,0.097226006,102
333,1.909090909,-0.272727273,0.187012987,103
334,3.090909091,-0.227272727,0.111542111,104
335,3.25,0.052631579,0.121199853,105
